city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,1990,18,4/30/1990,0.1226,0.103725,0.19848329999999997,0.17761670000000002,12.42,297.5728571,297.74285710000004,292.4142857,299.8,295.9,32.0,73.36571429,12.42,14.01285714,2.628571429,298.4428571,6.9,302.4,293.0,16.0,4
sj,1990,19,5/7/1990,0.1699,0.142175,0.1623571,0.15548570000000003,22.82,298.21142860000003,298.4428571,293.95142860000004,300.9,296.4,17.94,77.36857143,22.82,15.37285714,2.371428571,299.7142857,6.371428571,304.7,295.2,8.6,5
sj,1990,20,5/14/1990,0.03225,0.1729667,0.1572,0.1708429,34.54,298.7814286,298.87857139999994,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3,299.7142857,6.485714286,305.2,295.8,41.4,4
sj,1990,21,5/21/1990,0.1286333,0.2450667,0.22755709999999998,0.2358857,15.36,298.9871429,299.22857139999996,295.31,301.4,297.0,13.9,80.33714286,15.36,16.67285714,2.4285714290000002,300.4714286,6.771428571,306.3,296.3,4.0,3
sj,1990,22,5/28/1990,0.1962,0.2622,0.2512,0.24734,7.52,299.5185714,299.6642857,295.82142860000005,301.9,297.5,12.2,80.46,7.52,17.21,3.0142857139999997,301.9428571,9.371428571000001,308.0,296.9,5.8,6
sj,1990,23,6/4/1990,0.1733417094254781,0.17485,0.2543143,0.18174289999999999,9.58,299.63,299.76428569999996,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1,301.1142857,6.9428571429999995,307.4,296.9,39.1,2
sj,1990,24,6/11/1990,0.1129,0.0928,0.2050714,0.2102714,3.48,299.20714289999995,299.2214286,295.86571430000004,301.3,297.7,38.6,82.0,3.48,17.23428571,2.042857143,300.4142857,6.771428571,305.2,296.3,29.7,4
sj,1990,25,6/18/1990,0.0725,0.0725,0.1514714,0.1330286,151.12,299.59142860000003,299.5285714,296.5314286,300.6,298.4,30.0,83.37571429,151.12,17.97714286,1.571428571,301.37142860000006,7.6857142860000005,306.9,295.8,21.1,5
sj,1990,26,6/25/1990,0.10245,0.146175,0.1255714,0.1236,19.32,299.5785714,299.5571429,296.37857139999994,302.1,297.7,37.51,82.76857143,19.32,17.79,1.885714286,301.3285714,7.385714286,306.9,295.8,21.1,10
sj,1990,27,7/2/1990,0.06897714756931794,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.1542857,300.2785714,296.65142860000003,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714,301.3285714,6.514285714,306.9,297.4,1.1,6
sj,1990,28,7/9/1990,0.192875,0.08235,0.1919429,0.1529286,22.27,299.5128571,299.59285710000006,296.0414286,301.8,298.0,43.72,81.46714286,22.27,17.41857143,2.1571428569999997,300.5571429,7.157142857,304.7,294.7,63.7,8
sj,1990,29,7/16/1990,0.2916,0.2118,0.3012,0.2806667,59.17,299.66714289999993,299.75,296.3342857,302.0,297.3,40.9,82.14428571,59.17,17.73714286,2.414285714,301.12857139999994,6.9,305.8,296.9,12.2,2
sj,1990,30,7/23/1990,0.15056670000000003,0.1717,0.2269,0.2145571,16.48,299.55857139999995,299.6357143,295.96,301.8,297.1,42.53,80.74285714,16.48,17.34142857,2.0714285709999998,301.1142857,6.357142857,304.7,295.8,32.6,6
sj,1990,31,7/30/1990,0.20787278188855662,0.24715,0.3797,0.3813571,32.66,299.86285710000004,299.95,296.17285710000004,303.0,298.3,34.6,80.58428571,32.66,17.59428571,2.585714286,301.24285710000004,8.085714286,307.4,295.8,37.6,17
sj,1990,32,8/6/1990,0.04853689833456887,0.06433333,0.16444289999999998,0.1388571,28.8,300.39142860000004,300.47857139999996,296.53285710000006,302.5,298.8,20.0,79.65,28.8,17.95,2.328571429,301.2,7.5571428570000005,306.3,296.3,11.4,23
sj,1990,33,8/13/1990,0.10520266886855278,0.12803330000000002,0.2069571,0.16824289999999997,90.75,299.9585714,299.95714289999995,297.0357143,302.6,298.5,101.9,84.17857143,90.75,18.51571429,1.857142857,301.04285710000005,6.6857142860000005,305.8,295.8,44.7,13
sj,1990,34,8/20/1990,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.33285710000007,300.4142857,296.72857139999996,302.5,298.1,25.9,80.94714286,32.4,18.17428571,2.485714286,301.34285710000006,7.014285714,306.3,296.3,5.4,21
sj,1990,35,8/27/1990,0.2529,0.33075,0.26417140000000006,0.2843143,40.94,300.11857139999995,300.2214286,297.01714289999995,302.2,298.7,39.8,83.34857143,40.94,18.51571429,1.9,301.65714289999994,6.528571428999999,305.2,297.4,13.7,28
sj,1990,36,9/3/1990,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.6357143,296.1171429,303.8,298.0,30.4,77.17285714,28.86,17.56,3.471428571,301.3285714,7.614285714,305.8,296.3,14.2,24
sj,1990,37,9/10/1990,0.1279667,0.4371,0.1234,0.14828329999999998,64.56,300.6742857,300.79285710000005,297.1928571,302.9,299.0,24.18,81.55142857,64.56,18.77714286,2.9,301.68571430000003,8.057142857,306.9,297.4,25.9,20
